,label,date,mun_code,mun_name,total_amount
36,Fruitless and Wasteful Expenditure,2013,DC20,Fezile Dabi,2454000.0
37,Irregular Expenditure,2013,DC20,Fezile Dabi,311000.0
38,Unauthorised Expenditure,2013,DC20,Fezile Dabi,
39,Fruitless and Wasteful Expenditure,2013,DC21,Ugu,2028000.0
40,Irregular Expenditure,2013,DC21,Ugu,61101000.0
41,Unauthorised Expenditure,2013,DC21,Ugu,8126000.0
42,Fruitless and Wasteful Expenditure,2013,DC22,Umgungundlovu,291000.0
43,Irregular Expenditure,2013,DC22,Umgungundlovu,-82000.0
44,Unauthorised Expenditure,2013,DC22,Umgungundlovu,
45,Fruitless and Wasteful Expenditure,2013,DC23,Uthukela,3819000.0
46,Irregular Expenditure,2013,DC23,Uthukela,42346000.0
47,Unauthorised Expenditure,2013,DC23,Uthukela,270891000.0
48,Fruitless and Wasteful Expenditure,2013,DC24,Umzinyathi,
49,Irregular Expenditure,2013,DC24,Umzinyathi,12696000.0
50,Unauthorised Expenditure,2013,DC24,Umzinyathi,
51,Fruitless and Wasteful Expenditure,2013,DC25,Amajuba,0.0
52,Irregular Expenditure,2013,DC25,Amajuba,0.0
53,Unauthorised Expenditure,2013,DC25,Amajuba,0.0
54,Fruitless and Wasteful Expenditure,2013,DC26,Zululand,43000.0
55,Irregular Expenditure,2013,DC26,Zululand,1443000.0
56,Unauthorised Expenditure,2013,DC26,Zululand,
57,Fruitless and Wasteful Expenditure,2013,DC27,Umkhanyakude,2048000.0
58,Irregular Expenditure,2013,DC27,Umkhanyakude,615387000.0
59,Unauthorised Expenditure,2013,DC27,Umkhanyakude,18797000.0
60,Fruitless and Wasteful Expenditure,2013,DC28,Uthungulu,0.0
61,Irregular Expenditure,2013,DC28,Uthungulu,0.0
62,Unauthorised Expenditure,2013,DC28,Uthungulu,
63,Fruitless and Wasteful Expenditure,2013,DC29,iLembe,
64,Irregular Expenditure,2013,DC29,iLembe,16331000.0
65,Unauthorised Expenditure,2013,DC29,iLembe,
66,Fruitless and Wasteful Expenditure,2013,DC3,Overberg,
67,Irregular Expenditure,2013,DC3,Overberg,2936000.0
68,Unauthorised Expenditure,2013,DC3,Overberg,140000.0
69,Fruitless and Wasteful Expenditure,2013,DC30,Gert Sibande,
70,Irregular Expenditure,2013,DC30,Gert Sibande,97652000.0
71,Unauthorised Expenditure,2013,DC30,Gert Sibande,
72,Fruitless and Wasteful Expenditure,2013,DC31,Nkangala,67590000.0
73,Irregular Expenditure,2013,DC31,Nkangala,
74,Unauthorised Expenditure,2013,DC31,Nkangala,
75,Fruitless and Wasteful Expenditure,2013,DC32,Ehlanzeni,
76,Irregular Expenditure,2013,DC32,Ehlanzeni,
77,Unauthorised Expenditure,2013,DC32,Ehlanzeni,
78,Fruitless and Wasteful Expenditure,2013,DC33,Mopani,1510000.0
79,Irregular Expenditure,2013,DC33,Mopani,159260000.0
80,Unauthorised Expenditure,2013,DC33,Mopani,157216000.0
81,Fruitless and Wasteful Expenditure,2013,DC34,Vhembe,2091000.0
82,Irregular Expenditure,2013,DC34,Vhembe,726244000.0
83,Unauthorised Expenditure,2013,DC34,Vhembe,5754000.0
84,Fruitless and Wasteful Expenditure,2013,DC35,Capricorn,97000.0
85,Irregular Expenditure,2013,DC35,Capricorn,9504000.0
86,Unauthorised Expenditure,2013,DC35,Capricorn,18059000.0
87,Fruitless and Wasteful Expenditure,2013,DC36,Waterberg,6000.0
88,Irregular Expenditure,2013,DC36,Waterberg,
89,Unauthorised Expenditure,2013,DC36,Waterberg,
90,Fruitless and Wasteful Expenditure,2013,DC37,Bojanala,
91,Irregular Expenditure,2013,DC37,Bojanala,3050000.0
92,Unauthorised Expenditure,2013,DC37,Bojanala,7392000.0
93,Fruitless and Wasteful Expenditure,2013,DC38,Ngaka Modiri Molema,
94,Irregular Expenditure,2013,DC38,Ngaka Modiri Molema,
95,Unauthorised Expenditure,2013,DC38,Ngaka Modiri Molema,53781000.0
96,Fruitless and Wasteful Expenditure,2013,DC39,Dr Ruth Segomotsi Mompati,
97,Irregular Expenditure,2013,DC39,Dr Ruth Segomotsi Mompati,16509000.0
98,Unauthorised Expenditure,2013,DC39,Dr Ruth Segomotsi Mompati,6079000.0
99,Fruitless and Wasteful Expenditure,2013,DC4,Eden,726043000.0
100,Irregular Expenditure,2013,DC4,Eden,8872000.0
101,Unauthorised Expenditure,2013,DC4,Eden,14015000.0
102,Fruitless and Wasteful Expenditure,2013,DC40,Dr Kenneth Kaunda,25000.0
103,Irregular Expenditure,2013,DC40,Dr Kenneth Kaunda,4067000.0
104,Unauthorised Expenditure,2013,DC40,Dr Kenneth Kaunda,
105,Fruitless and Wasteful Expenditure,2013,DC42,Sedibeng,58000.0
106,Irregular Expenditure,2013,DC42,Sedibeng,
107,Unauthorised Expenditure,2013,DC42,Sedibeng,
108,Fruitless and Wasteful Expenditure,2013,DC43,Harry Gwala,26050000.0
109,Irregular Expenditure,2013,DC43,Harry Gwala,187117000.0
110,Unauthorised Expenditure,2013,DC43,Harry Gwala,164918000.0
111,Fruitless and Wasteful Expenditure,2013,DC44,Alfred Nzo,504000.0
112,Irregular Expenditure,2013,DC44,Alfred Nzo,
113,Unauthorised Expenditure,2013,DC44,Alfred Nzo,127000.0
114,Fruitless and Wasteful Expenditure,2013,DC45,John Taolo Gaetsewe,104000.0
115,Irregular Expenditure,2013,DC45,John Taolo Gaetsewe,48000.0
116,Unauthorised Expenditure,2013,DC45,John Taolo Gaetsewe,385000.0
117,Fruitless and Wasteful Expenditure,2013,DC47,Sekhukhune,285966000.0
118,Irregular Expenditure,2013,DC47,Sekhukhune,115843000.0
119,Unauthorised Expenditure,2013,DC47,Sekhukhune,
120,Fruitless and Wasteful Expenditure,2013,DC48,West Rand,2000.0
121,Irregular Expenditure,2013,DC48,West Rand,3958000.0
122,Unauthorised Expenditure,2013,DC48,West Rand,
123,Fruitless and Wasteful Expenditure,2013,DC5,Central Karoo,
124,Irregular Expenditure,2013,DC5,Central Karoo,2813000.0
125,Unauthorised Expenditure,2013,DC5,Central Karoo,491000.0
126,Fruitless and Wasteful Expenditure,2013,DC6,Namakwa,
127,Irregular Expenditure,2013,DC6,Namakwa,2662000.0
128,Unauthorised Expenditure,2013,DC6,Namakwa,3728000.0
129,Fruitless and Wasteful Expenditure,2013,DC7,Pixley ka Seme,471000.0
130,Irregular Expenditure,2013,DC7,Pixley ka Seme,31476000.0
131,Unauthorised Expenditure,2013,DC7,Pixley ka Seme,661000.0
132,Fruitless and Wasteful Expenditure,2013,DC8,Z F Mgcawu,
133,Irregular Expenditure,2013,DC8,Z F Mgcawu,3960000.0
134,Unauthorised Expenditure,2013,DC8,Z F Mgcawu,
135,Fruitless and Wasteful Expenditure,2013,DC9,Frances Baard,182000.0
136,Irregular Expenditure,2013,DC9,Frances Baard,184000.0
137,Unauthorised Expenditure,2013,DC9,Frances Baard,1000000.0
138,Fruitless and Wasteful Expenditure,2013,EC101,Dr Beyers Naude,39000.0
139,Irregular Expenditure,2013,EC101,Dr Beyers Naude,1279000.0
140,Unauthorised Expenditure,2013,EC101,Dr Beyers Naude,15196000.0
141,Fruitless and Wasteful Expenditure,2013,EC102,Blue Crane Route,15000.0
142,Irregular Expenditure,2013,EC102,Blue Crane Route,21480000.0
143,Unauthorised Expenditure,2013,EC102,Blue Crane Route,357000.0
144,Fruitless and Wasteful Expenditure,2013,EC103,Ikwezi,149000.0
145,Irregular Expenditure,2013,EC103,Ikwezi,9579000.0
146,Unauthorised Expenditure,2013,EC103,Ikwezi,10443000.0
147,Fruitless and Wasteful Expenditure,2013,EC104,Makana,174000.0
148,Irregular Expenditure,2013,EC104,Makana,43799000.0
149,Unauthorised Expenditure,2013,EC104,Makana,140601000.0
150,Fruitless and Wasteful Expenditure,2013,EC105,Ndlambe,0.0
151,Irregular Expenditure,2013,EC105,Ndlambe,16200000.0
152,Unauthorised Expenditure,2013,EC105,Ndlambe,62531000.0
153,Fruitless and Wasteful Expenditure,2013,EC106,Sundays River Valley,332000.0
154,Irregular Expenditure,2013,EC106,Sundays River Valley,11560000.0
155,Unauthorised Expenditure,2013,EC106,Sundays River Valley,20578000.0
156,Fruitless and Wasteful Expenditure,2013,EC107,Baviaans,1619000.0
157,Irregular Expenditure,2013,EC107,Baviaans,133000.0
158,Unauthorised Expenditure,2013,EC107,Baviaans,12018000.0
159,Fruitless and Wasteful Expenditure,2013,EC108,Kouga,9211000.0
160,Irregular Expenditure,2013,EC108,Kouga,106000.0
161,Unauthorised Expenditure,2013,EC108,Kouga,32866000.0
162,Fruitless and Wasteful Expenditure,2013,EC109,Kou-Kamma,0.0
163,Irregular Expenditure,2013,EC109,Kou-Kamma,0.0
164,Unauthorised Expenditure,2013,EC109,Kou-Kamma,0.0
165,Fruitless and Wasteful Expenditure,2013,EC121,Mbhashe,2614000.0
166,Irregular Expenditure,2013,EC121,Mbhashe,10264000.0
167,Unauthorised Expenditure,2013,EC121,Mbhashe,33360000.0
168,Fruitless and Wasteful Expenditure,2013,EC122,Mnquma,2203000.0
169,Irregular Expenditure,2013,EC122,Mnquma,48059000.0
170,Unauthorised Expenditure,2013,EC122,Mnquma,49485000.0
171,Fruitless and Wasteful Expenditure,2013,EC123,Great Kei,6562000.0
172,Irregular Expenditure,2013,EC123,Great Kei,115660000.0
173,Unauthorised Expenditure,2013,EC123,Great Kei,6943000.0
174,Fruitless and Wasteful Expenditure,2013,EC124,Amahlathi,1364000.0
175,Irregular Expenditure,2013,EC124,Amahlathi,3848000.0
176,Unauthorised Expenditure,2013,EC124,Amahlathi,
177,Fruitless and Wasteful Expenditure,2013,EC126,Ngqushwa,
178,Irregular Expenditure,2013,EC126,Ngqushwa,16066000.0
179,Unauthorised Expenditure,2013,EC126,Ngqushwa,
180,Fruitless and Wasteful Expenditure,2013,EC127,Nkonkobe,2221000.0
181,Irregular Expenditure,2013,EC127,Nkonkobe,2200000.0
182,Unauthorised Expenditure,2013,EC127,Nkonkobe,630000.0
183,Fruitless and Wasteful Expenditure,2013,EC128,Nxuba,553000.0
184,Irregular Expenditure,2013,EC128,Nxuba,
185,Unauthorised Expenditure,2013,EC128,Nxuba,235000.0
186,Fruitless and Wasteful Expenditure,2013,EC131,Inxuba Yethemba,422000.0
187,Irregular Expenditure,2013,EC131,Inxuba Yethemba,15819000.0
188,Unauthorised Expenditure,2013,EC131,Inxuba Yethemba,8328000.0
189,Fruitless and Wasteful Expenditure,2013,EC132,Tsolwana,372000.0
190,Irregular Expenditure,2013,EC132,Tsolwana,8593000.0
191,Unauthorised Expenditure,2013,EC132,Tsolwana,8561000.0
192,Fruitless and Wasteful Expenditure,2013,EC133,Inkwanca,245000.0
193,Irregular Expenditure,2013,EC133,Inkwanca,243000.0
194,Unauthorised Expenditure,2013,EC133,Inkwanca,57536000.0
195,Fruitless and Wasteful Expenditure,2013,EC134,Lukanji,909000.0
196,Irregular Expenditure,2013,EC134,Lukanji,40580000.0
197,Unauthorised Expenditure,2013,EC134,Lukanji,75953000.0
198,Fruitless and Wasteful Expenditure,2013,EC135,Intsika Yethu,74000.0
199,Irregular Expenditure,2013,EC135,Intsika Yethu,
200,Unauthorised Expenditure,2013,EC135,Intsika Yethu,
201,Fruitless and Wasteful Expenditure,2013,EC136,Emalahleni,16880000.0
202,Irregular Expenditure,2013,EC136,Emalahleni,74071000.0
203,Unauthorised Expenditure,2013,EC136,Emalahleni,17070000.0
204,Fruitless and Wasteful Expenditure,2013,EC137,Engcobo,2794000.0
205,Irregular Expenditure,2013,EC137,Engcobo,22323000.0
206,Unauthorised Expenditure,2013,EC137,Engcobo,83441000.0
207,Fruitless and Wasteful Expenditure,2013,EC138,Sakhisizwe,769000.0
208,Irregular Expenditure,2013,EC138,Sakhisizwe,28581000.0
209,Unauthorised Expenditure,2013,EC138,Sakhisizwe,17029000.0
210,Fruitless and Wasteful Expenditure,2013,EC141,Elundini,283000.0
211,Irregular Expenditure,2013,EC141,Elundini,644000.0
212,Unauthorised Expenditure,2013,EC141,Elundini,31544000.0
213,Fruitless and Wasteful Expenditure,2013,EC142,Senqu,2030000.0
214,Irregular Expenditure,2013,EC142,Senqu,763000.0
215,Unauthorised Expenditure,2013,EC142,Senqu,
216,Fruitless and Wasteful Expenditure,2013,EC143,Maletswai,1363000.0
217,Irregular Expenditure,2013,EC143,Maletswai,323000.0
218,Unauthorised Expenditure,2013,EC143,Maletswai,8703000.0
219,Fruitless and Wasteful Expenditure,2013,EC144,Gariep,3404000.0
220,Irregular Expenditure,2013,EC144,Gariep,7976000.0
221,Unauthorised Expenditure,2013,EC144,Gariep,28621000.0
222,Fruitless and Wasteful Expenditure,2013,EC153,Ngquza Hill,0.0
223,Irregular Expenditure,2013,EC153,Ngquza Hill,0.0
224,Unauthorised Expenditure,2013,EC153,Ngquza Hill,0.0
225,Fruitless and Wasteful Expenditure,2013,EC154,Port St Johns,0.0
226,Irregular Expenditure,2013,EC154,Port St Johns,0.0
227,Unauthorised Expenditure,2013,EC154,Port St Johns,0.0
228,Fruitless and Wasteful Expenditure,2013,EC155,Nyandeni,251000.0
229,Irregular Expenditure,2013,EC155,Nyandeni,32690000.0
230,Unauthorised Expenditure,2013,EC155,Nyandeni,5959000.0
231,Fruitless and Wasteful Expenditure,2013,EC156,Mhlontlo,215000.0
232,Irregular Expenditure,2013,EC156,Mhlontlo,57591000.0
233,Unauthorised Expenditure,2013,EC156,Mhlontlo,192880000.0
234,Fruitless and Wasteful Expenditure,2013,EC157,King Sabata Dalindyebo,870000.0
235,Irregular Expenditure,2013,EC157,King Sabata Dalindyebo,61768000.0
236,Unauthorised Expenditure,2013,EC157,King Sabata Dalindyebo,96913000.0
237,Fruitless and Wasteful Expenditure,2013,EC441,Matatiele,2000.0
238,Irregular Expenditure,2013,EC441,Matatiele,
239,Unauthorised Expenditure,2013,EC441,Matatiele,16210000.0
240,Fruitless and Wasteful Expenditure,2013,EC442,Umzimvubu,80793000.0
241,Irregular Expenditure,2013,EC442,Umzimvubu,585438000.0
242,Unauthorised Expenditure,2013,EC442,Umzimvubu,2585000.0
243,Fruitless and Wasteful Expenditure,2013,EC443,Mbizana,788000.0
244,Irregular Expenditure,2013,EC443,Mbizana,1195000.0
245,Unauthorised Expenditure,2013,EC443,Mbizana,9596000.0
246,Fruitless and Wasteful Expenditure,2013,EC444,Ntabankulu,5000.0
247,Irregular Expenditure,2013,EC444,Ntabankulu,150000.0
248,Unauthorised Expenditure,2013,EC444,Ntabankulu,14000.0
249,Fruitless and Wasteful Expenditure,2013,EKU,Ekurhuleni,39714000.0
250,Irregular Expenditure,2013,EKU,Ekurhuleni,123154000.0
251,Unauthorised Expenditure,2013,EKU,Ekurhuleni,
252,Fruitless and Wasteful Expenditure,2013,ETH,eThekwini,0.0
253,Irregular Expenditure,2013,ETH,eThekwini,325271000.0
254,Unauthorised Expenditure,2013,ETH,eThekwini,0.0
255,Fruitless and Wasteful Expenditure,2013,FS161,Letsemeng,1095000.0
256,Irregular Expenditure,2013,FS161,Letsemeng,67665000.0
257,Unauthorised Expenditure,2013,FS161,Letsemeng,47809000.0
258,Fruitless and Wasteful Expenditure,2013,FS162,Kopanong,27961000.0
259,Irregular Expenditure,2013,FS162,Kopanong,163301000.0
260,Unauthorised Expenditure,2013,FS162,Kopanong,144540000.0
261,Fruitless and Wasteful Expenditure,2013,FS163,Mohokare,3345000.0
262,Irregular Expenditure,2013,FS163,Mohokare,98573000.0
263,Unauthorised Expenditure,2013,FS163,Mohokare,87796000.0
264,Fruitless and Wasteful Expenditure,2013,FS164,Naledi,8610000.0
265,Irregular Expenditure,2013,FS164,Naledi,14949000.0
266,Unauthorised Expenditure,2013,FS164,Naledi,0.0
267,Fruitless and Wasteful Expenditure,2013,FS181,Masilonyana,1739000.0
268,Irregular Expenditure,2013,FS181,Masilonyana,164599000.0
269,Unauthorised Expenditure,2013,FS181,Masilonyana,591872000.0
270,Fruitless and Wasteful Expenditure,2013,FS182,Tokologo,268303000.0
271,Irregular Expenditure,2013,FS182,Tokologo,47582000.0
272,Unauthorised Expenditure,2013,FS182,Tokologo,38587000.0
273,Fruitless and Wasteful Expenditure,2013,FS183,Tswelopele,98000.0
274,Irregular Expenditure,2013,FS183,Tswelopele,1744000.0
275,Unauthorised Expenditure,2013,FS183,Tswelopele,1982000.0
276,Fruitless and Wasteful Expenditure,2013,FS184,Matjhabeng,181777000.0
277,Irregular Expenditure,2013,FS184,Matjhabeng,399533000.0
278,Unauthorised Expenditure,2013,FS184,Matjhabeng,3244888000.0
279,Fruitless and Wasteful Expenditure,2013,FS185,Nala,11296000.0
280,Irregular Expenditure,2013,FS185,Nala,38922000.0
281,Unauthorised Expenditure,2013,FS185,Nala,97795000.0
282,Fruitless and Wasteful Expenditure,2013,FS191,Setsoto,
283,Irregular Expenditure,2013,FS191,Setsoto,131973000.0
284,Unauthorised Expenditure,2013,FS191,Setsoto,154181000.0
285,Fruitless and Wasteful Expenditure,2013,FS192,Dihlabeng,6388000.0
286,Irregular Expenditure,2013,FS192,Dihlabeng,
287,Unauthorised Expenditure,2013,FS192,Dihlabeng,
288,Fruitless and Wasteful Expenditure,2013,FS193,Nketoana,734343000.0
289,Irregular Expenditure,2013,FS193,Nketoana,35419000.0
290,Unauthorised Expenditure,2013,FS193,Nketoana,100436000.0
291,Fruitless and Wasteful Expenditure,2013,FS194,Maluti a Phofung,13099000.0
292,Irregular Expenditure,2013,FS194,Maluti a Phofung,3310000.0
293,Unauthorised Expenditure,2013,FS194,Maluti a Phofung,0.0
294,Fruitless and Wasteful Expenditure,2013,FS195,Phumelela,1059000.0
295,Irregular Expenditure,2013,FS195,Phumelela,123971000.0
296,Unauthorised Expenditure,2013,FS195,Phumelela,68854000.0
297,Fruitless and Wasteful Expenditure,2013,FS196,Mantsopa,1198000.0
298,Irregular Expenditure,2013,FS196,Mantsopa,17635000.0
299,Unauthorised Expenditure,2013,FS196,Mantsopa,151445000.0
300,Fruitless and Wasteful Expenditure,2013,FS201,Moqhaka,27878000.0
301,Irregular Expenditure,2013,FS201,Moqhaka,144794000.0
302,Unauthorised Expenditure,2013,FS201,Moqhaka,155977000.0
303,Fruitless and Wasteful Expenditure,2013,FS203,Ngwathe,
304,Irregular Expenditure,2013,FS203,Ngwathe,15418000.0
305,Unauthorised Expenditure,2013,FS203,Ngwathe,187185000.0
306,Fruitless and Wasteful Expenditure,2013,FS204,Metsimaholo,7684000.0
307,Irregular Expenditure,2013,FS204,Metsimaholo,239611000.0
308,Unauthorised Expenditure,2013,FS204,Metsimaholo,91466000.0
309,Fruitless and Wasteful Expenditure,2013,FS205,Mafube,5669000.0
310,Irregular Expenditure,2013,FS205,Mafube,30002000.0
311,Unauthorised Expenditure,2013,FS205,Mafube,21774000.0
312,Fruitless and Wasteful Expenditure,2013,GT421,Emfuleni,176468000.0
313,Irregular Expenditure,2013,GT421,Emfuleni,
314,Unauthorised Expenditure,2013,GT421,Emfuleni,
315,Fruitless and Wasteful Expenditure,2013,GT422,Midvaal,
316,Irregular Expenditure,2013,GT422,Midvaal,
317,Unauthorised Expenditure,2013,GT422,Midvaal,48736000.0
318,Fruitless and Wasteful Expenditure,2013,GT423,Lesedi,369000.0
319,Irregular Expenditure,2013,GT423,Lesedi,10249000.0
320,Unauthorised Expenditure,2013,GT423,Lesedi,6221000.0
321,Fruitless and Wasteful Expenditure,2013,GT481,Mogale City,3860000.0
322,Irregular Expenditure,2013,GT481,Mogale City,5411000.0
323,Unauthorised Expenditure,2013,GT481,Mogale City,49377000.0
324,Fruitless and Wasteful Expenditure,2013,GT482,Randfontein,8620000.0
325,Irregular Expenditure,2013,GT482,Randfontein,41316000.0
326,Unauthorised Expenditure,2013,GT482,Randfontein,31035000.0
327,Fruitless and Wasteful Expenditure,2013,GT483,Westonaria,4666000.0
328,Irregular Expenditure,2013,GT483,Westonaria,14836000.0
329,Unauthorised Expenditure,2013,GT483,Westonaria,
330,Fruitless and Wasteful Expenditure,2013,GT484,Merafong City,
331,Irregular Expenditure,2013,GT484,Merafong City,18732000.0
332,Unauthorised Expenditure,2013,GT484,Merafong City,16732000.0
333,Fruitless and Wasteful Expenditure,2013,JHB,City of Johannesburg,4147000.0
334,Irregular Expenditure,2013,JHB,City of Johannesburg,216979000.0
335,Unauthorised Expenditure,2013,JHB,City of Johannesburg,3855000.0
336,Fruitless and Wasteful Expenditure,2013,KZN211,Vulamehlo,99000.0
337,Irregular Expenditure,2013,KZN211,Vulamehlo,35315000.0
338,Unauthorised Expenditure,2013,KZN211,Vulamehlo,
339,Fruitless and Wasteful Expenditure,2013,KZN212,Umdoni,
340,Irregular Expenditure,2013,KZN212,Umdoni,20090000.0
341,Unauthorised Expenditure,2013,KZN212,Umdoni,
342,Fruitless and Wasteful Expenditure,2013,KZN214,uMuziwabantu,
343,Irregular Expenditure,2013,KZN214,uMuziwabantu,1431000.0
344,Unauthorised Expenditure,2013,KZN214,uMuziwabantu,
345,Fruitless and Wasteful Expenditure,2013,KZN215,Ezingoleni,
346,Irregular Expenditure,2013,KZN215,Ezingoleni,31000.0
347,Unauthorised Expenditure,2013,KZN215,Ezingoleni,11591000.0
348,Fruitless and Wasteful Expenditure,2013,KZN216,Ray Nkonyeni,63000.0
349,Irregular Expenditure,2013,KZN216,Ray Nkonyeni,8150000.0
350,Unauthorised Expenditure,2013,KZN216,Ray Nkonyeni,18113000.0
351,Fruitless and Wasteful Expenditure,2013,KZN221,uMshwathi,
352,Irregular Expenditure,2013,KZN221,uMshwathi,
353,Unauthorised Expenditure,2013,KZN221,uMshwathi,4593000.0
354,Fruitless and Wasteful Expenditure,2013,KZN222,uMngeni,650000.0
355,Irregular Expenditure,2013,KZN222,uMngeni,3845000.0
356,Unauthorised Expenditure,2013,KZN222,uMngeni,
357,Fruitless and Wasteful Expenditure,2013,KZN223,Mpofana,
358,Irregular Expenditure,2013,KZN223,Mpofana,26450000.0
359,Unauthorised Expenditure,2013,KZN223,Mpofana,
360,Fruitless and Wasteful Expenditure,2013,KZN224,Impendle,121000.0
361,Irregular Expenditure,2013,KZN224,Impendle,
362,Unauthorised Expenditure,2013,KZN224,Impendle,
363,Fruitless and Wasteful Expenditure,2013,KZN225,The Msunduzi,0.0
364,Irregular Expenditure,2013,KZN225,The Msunduzi,0.0
365,Unauthorised Expenditure,2013,KZN225,The Msunduzi,0.0
366,Fruitless and Wasteful Expenditure,2013,KZN226,Mkhambathini,
367,Irregular Expenditure,2013,KZN226,Mkhambathini,1198000.0
368,Unauthorised Expenditure,2013,KZN226,Mkhambathini,
369,Fruitless and Wasteful Expenditure,2013,KZN227,Richmond,95000.0
370,Irregular Expenditure,2013,KZN227,Richmond,
371,Unauthorised Expenditure,2013,KZN227,Richmond,7651000.0
372,Fruitless and Wasteful Expenditure,2013,KZN232,Emnambithi/Ladysmith,89000.0
373,Irregular Expenditure,2013,KZN232,Emnambithi/Ladysmith,7722000.0
374,Unauthorised Expenditure,2013,KZN232,Emnambithi/Ladysmith,
375,Fruitless and Wasteful Expenditure,2013,KZN233,Indaka,0.0
376,Irregular Expenditure,2013,KZN233,Indaka,2000.0
377,Unauthorised Expenditure,2013,KZN233,Indaka,
378,Fruitless and Wasteful Expenditure,2013,KZN234,Umtshezi,
379,Irregular Expenditure,2013,KZN234,Umtshezi,10501000.0
380,Unauthorised Expenditure,2013,KZN234,Umtshezi,
381,Fruitless and Wasteful Expenditure,2013,KZN235,Okhahlamba,
382,Irregular Expenditure,2013,KZN235,Okhahlamba,13821000.0
383,Unauthorised Expenditure,2013,KZN235,Okhahlamba,
384,Fruitless and Wasteful Expenditure,2013,KZN236,Imbabazane,72467000.0
385,Irregular Expenditure,2013,KZN236,Imbabazane,16849000.0
386,Unauthorised Expenditure,2013,KZN236,Imbabazane,0.0
387,Fruitless and Wasteful Expenditure,2013,KZN241,Endumeni,
388,Irregular Expenditure,2013,KZN241,Endumeni,3252000.0
389,Unauthorised Expenditure,2013,KZN241,Endumeni,
390,Fruitless and Wasteful Expenditure,2013,KZN242,Nqutu,0.0
391,Irregular Expenditure,2013,KZN242,Nqutu,0.0
392,Unauthorised Expenditure,2013,KZN242,Nqutu,0.0
393,Fruitless and Wasteful Expenditure,2013,KZN244,Msinga,
394,Irregular Expenditure,2013,KZN244,Msinga,49855000.0
395,Unauthorised Expenditure,2013,KZN244,Msinga,8489000.0
396,Fruitless and Wasteful Expenditure,2013,KZN245,Umvoti,
397,Irregular Expenditure,2013,KZN245,Umvoti,
398,Unauthorised Expenditure,2013,KZN245,Umvoti,
399,Fruitless and Wasteful Expenditure,2013,KZN252,Newcastle,203334000.0
400,Irregular Expenditure,2013,KZN252,Newcastle,79998000.0
401,Unauthorised Expenditure,2013,KZN252,Newcastle,203334000.0
402,Fruitless and Wasteful Expenditure,2013,KZN253,Emadlangeni,61000.0
403,Irregular Expenditure,2013,KZN253,Emadlangeni,3611000.0
404,Unauthorised Expenditure,2013,KZN253,Emadlangeni,
405,Fruitless and Wasteful Expenditure,2013,KZN254,Dannhauser,195000.0
406,Irregular Expenditure,2013,KZN254,Dannhauser,17140000.0
407,Unauthorised Expenditure,2013,KZN254,Dannhauser,
408,Fruitless and Wasteful Expenditure,2013,KZN261,eDumbe,641000.0
