,mun_name,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,City of Cape Town,CPT,AUDA,Debtors Age Analysis By Customer Group,0,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Organs of State,104717345,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Commercial,1290599349,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Households,4776706369,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Other,-36699480,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Total By Customer Group,6135323583,Western Cape,18.4680927,18.4680927
2013,West Coast,DC1,AUDA,Debtors Age Analysis By Income Source,0,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Trade and Other Receivables from Exchange Transactions - Water,7335786,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,33944,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Receivables from Exchange Transactions - Waste Management,7160,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,131353,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Interest on Arrear Debtor Accounts,0,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Other,3010,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Total By Income Source,7511253,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Debtors Age Analysis By Customer Group,0,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Organs of State,6610142,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Commercial,303148,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Households,597963,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Other,0,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Total By Customer Group,7511253,Western Cape,18.6175626,18.6175626
2013,Cacadu,DC10,AUDA,Debtors Age Analysis By Income Source,0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Trade and Other Receivables from Exchange Transactions - Water,0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Receivables from Exchange Transactions - Waste Management,0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,13609,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Interest on Arrear Debtor Accounts,0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Other,22291737,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Total By Income Source,22305346,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Debtors Age Analysis By Customer Group,0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Organs of State,22301786,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Commercial,1,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Households,0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Other,3559,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Total By Customer Group,22305346,Eastern Cape,25.6223644,25.6223644
2013,Amathole,DC12,AUDA,Debtors Age Analysis By Income Source,0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Trade and Other Receivables from Exchange Transactions - Water,368143463,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Receivables from Exchange Transactions - Waste Management,0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Interest on Arrear Debtor Accounts,0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Other,0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Total By Income Source,368143463,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Debtors Age Analysis By Customer Group,0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Organs of State,61085804,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Commercial,68612801,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Households,238444858,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Other,0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Total By Customer Group,368143463,Eastern Cape,27.3616476,27.3616476
2013,Chris Hani,DC13,AUDA,Debtors Age Analysis By Income Source,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Trade and Other Receivables from Exchange Transactions - Water,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Receivables from Exchange Transactions - Waste Management,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Interest on Arrear Debtor Accounts,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Other,192686073,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Total By Income Source,192686073,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Debtors Age Analysis By Customer Group,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Organs of State,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Commercial,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Households,0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Other,192686073,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Total By Customer Group,192686073,Eastern Cape,26.7967849,26.7967849
2013,Joe Gqabi,DC14,AUDA,Debtors Age Analysis By Income Source,0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Trade and Other Receivables from Exchange Transactions - Water,10834898,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Receivables from Exchange Transactions - Waste Management,6085355,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Interest on Arrear Debtor Accounts,0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Other,7813223,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Total By Income Source,24733476,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Debtors Age Analysis By Customer Group,0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Organs of State,0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Commercial,0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Households,16920253,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Other,7813223,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Total By Customer Group,24733476,Eastern Cape,26.9852422,26.9852422
2013,O.R.Tambo,DC15,AUDA,Debtors Age Analysis By Income Source,0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Trade and Other Receivables from Exchange Transactions - Water,44932869,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Receivables from Exchange Transactions - Waste Management,0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Interest on Arrear Debtor Accounts,0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Other,0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Total By Income Source,44932869,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Debtors Age Analysis By Customer Group,0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Organs of State,12336056,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Commercial,7481087,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Households,24794110,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Other,321616,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Total By Customer Group,44932869,Eastern Cape,29.2320784,29.2320784
2013,Xhariep,DC16,AUDA,Debtors Age Analysis By Income Source,0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Trade and Other Receivables from Exchange Transactions - Water,0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Receivables from Exchange Transactions - Waste Management,0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,931606,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Interest on Arrear Debtor Accounts,0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Other,1721217,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Total By Income Source,2652823,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Debtors Age Analysis By Customer Group,0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Organs of State,1270179,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Commercial,451038,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Households,0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Other,931606,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Total By Customer Group,2652823,Free State,25.2837585,25.2837585
2013,Lejweleputswa,DC18,AUDA,Debtors Age Analysis By Income Source,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Trade and Other Receivables from Exchange Transactions - Water,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Receivables from Exchange Transactions - Waste Management,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Interest on Arrear Debtor Accounts,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Other,1557206,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Total By Income Source,1557206,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Debtors Age Analysis By Customer Group,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Organs of State,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Commercial,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Households,0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Other,1557206,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Total By Customer Group,1557206,Free State,26.2304616,26.2304616
2013,Thabo Mofutsanyane,DC19,AUDA,Debtors Age Analysis By Income Source,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Trade and Other Receivables from Exchange Transactions - Water,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Receivables from Exchange Transactions - Waste Management,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Interest on Arrear Debtor Accounts,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Other,3465234,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Total By Income Source,3465234,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Debtors Age Analysis By Customer Group,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Organs of State,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Commercial,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Households,0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Other,3465234,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Total By Customer Group,3465234,Free State,28.299435,28.299435
2013,Cape Winelands,DC2,AUDA,Debtors Age Analysis By Income Source,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Trade and Other Receivables from Exchange Transactions - Water,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Receivables from Exchange Transactions - Waste Management,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Interest on Arrear Debtor Accounts,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Other,128226,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Total By Income Source,128226,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Debtors Age Analysis By Customer Group,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Organs of State,35079,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Commercial,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Households,0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Other,93147,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Total By Customer Group,128226,Western Cape,19.7591675,19.7591675
2013,Fezile Dabi,DC20,AUDA,Debtors Age Analysis By Income Source,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Trade and Other Receivables from Exchange Transactions - Water,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Receivables from Exchange Transactions - Waste Management,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Interest on Arrear Debtor Accounts,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Other,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Total By Income Source,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Debtors Age Analysis By Customer Group,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Organs of State,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Commercial,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Households,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Other,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Total By Customer Group,0,Free State,27.7373373,27.7373373
2013,Ugu,DC21,AUDA,Debtors Age Analysis By Income Source,0,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Trade and Other Receivables from Exchange Transactions - Water,144378784,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Receivables from Exchange Transactions - Waste Water Management,40515210,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Receivables from Exchange Transactions - Waste Management,0,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,0,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Interest on Arrear Debtor Accounts,0,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Other,8070415,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Total By Income Source,192964409,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Debtors Age Analysis By Customer Group,0,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Organs of State,7869220,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Commercial,32784583,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Households,144240191,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Other,8070415,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Total By Customer Group,192964409,KwaZulu-Natal,30.2512728,30.2512728
2013,Umgungundlovu,DC22,AUDA,Debtors Age Analysis By Income Source,0,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Trade and Other Receivables from Exchange Transactions - Water,300639467,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Receivables from Non-exchange Transactions - Property Rates,0,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Receivables from Exchange Transactions - Waste Water Management,0,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Receivables from Exchange Transactions - Waste Management,0,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,0,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Interest on Arrear Debtor Accounts,0,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,KwaZulu-Natal,30.3435506,30.3435506
